Node,In-Degree,Out-Degree
792,130,107
793,257,150
794,108,129
168,44,62
365,137,49
699,156,84
999,165,31
1003,73,82
1022,60,81
1106,86,76
1107,19,31
1108,202,67
1109,29,23
71389,114,112
158,16,47
222,112,116
318,124,109
508,88,157
547,149,69
796,18,17
965,200,77
979,110,44
1005,93,22
1008,110,49
1118,8,10
1119,27,29
1120,63,37
1121,7,5
1122,14,14
1123,31,44
1124,31,35
1125,11,7
1126,46,43
1127,20,18
1128,93,64
1129,276,86
159,51,102
843,346,124
846,101,33
848,208,207
917,120,171
923,204,206
1163,217,155
1164,489,109
165,271,170
301,426,139
302,61,66
312,206,194
319,185,185
344,47,111
345,146,129
354,200,184
367,69,69
384,97,99
385,491,190
395,356,164
408,223,89
411,154,119
414,144,191
415,188,92
418,576,257
436,160,47
549,470,120
559,188,99
586,308,267
611,50,84
612,29,68
620,115,222
627,58,101
663,343,365
712,111,48
766,236,350
852,140,148
974,46,40
993,206,57
998,88,54
1026,44,55
1027,113,67
1166,54,43
1167,157,114
1168,14,10
1169,40,38
1170,64,56
1171,165,54
1172,404,404
1173,326,77
1174,129,107
1175,27,10
1176,62,11
1177,310,69
1178,444,23
1179,1119,85
1180,49,64
1181,198,116
1182,74,110
1183,22,22
1184,63,93
1185,156,78
1186,83,33
1187,12,16
1188,6,6
1189,54,141
1190,282,168
1191,538,153
1192,79,29
6,211,27
195,255,285
211,26,18
231,4,13
257,46,55
269,51,20
327,65,82
329,418,210
357,136,179
359,64,69
374,314,65
378,107,80
383,197,203
387,64,53
407,146,129
410,180,129
434,154,156
441,82,79
475,15,21
500,17,84
546,411,410
558,176,69
564,119,119
597,155,95
598,34,17
629,136,466
645,390,1632
661,124,489
688,64,28
746,121,237
812,41,56
879,327,87
890,39,72
954,135,136
1014,361,162
1029,500,119
1033,134,135
1075,373,157
1110,44,39
1243,65,46
1244,9,16
1245,26,26
1246,77,62
1247,452,193
1248,81,41
1249,61,75
1250,71,161
1251,45,48
1252,36,54
1253,55,47
1254,150,169
1255,164,5
1256,200,37
1257,19,19
1258,146,46
1259,129,133
1260,3,6
1261,8,12
1262,73,60
1263,89,85
1264,82,94
1265,74,26
1266,1,7
1267,18,35
1268,209,5
1269,3,22
1270,23,36
1271,52,38
1272,137,75
1273,13,37
1274,357,110
1275,36,49
1276,182,55
1277,84,67
1278,42,130
1279,4,29
71388,170,222
156,61,50
193,106,95
199,30,34
210,364,134
242,30,58
331,127,65
350,135,213
375,149,187
382,323,106
386,149,132
393,22,10
394,233,80
428,107,86
584,59,76
624,101,82
653,89,69
684,255,248
795,31,33
804,31,51
853,217,217
860,322,140
916,115,72
946,42,70
961,30,25
982,53,53
994,146,42
996,139,42
1010,13,17
1015,56,43
1036,152,116
1105,25,25
1293,52,51
1294,8,9
1295,11,11
1296,36,19
1297,23,16
1298,3,5
1299,64,73
1300,8,10
1301,139,26
1302,3,3
1303,25,21
1304,277,135
1305,107,28
1306,35,59
1307,8,9
1308,5,12
1309,148,21
1310,26,17
1311,6,5
1312,185,183
1313,47,77
1314,150,141
1315,189,72
1316,116,34
1317,22,26
1318,78,49
1319,58,45
1320,12,10
1321,60,39
1322,36,65
1323,281,47
1324,121,57
2752,30,12
1023,346,154
1111,308,135
1207,244,76
1390,294,135
1391,6,18
1392,198,64
1393,94,112
1394,53,21
1395,14,29
1396,323,333
1397,227,71
1398,574,60
1399,352,41
1400,229,104
1401,476,96
1402,80,35
1403,171,45
1404,53,52
1405,359,45
1406,150,121
1407,144,82
1408,83,60
1409,353,353
1410,20,42
1411,226,226
1412,152,65
1413,5,11
1414,19,32
697,241,57
854,357,47
987,45,51
1574,223,56
1575,27,24
1576,246,94
1577,324,80
1578,2,2
1579,26,4
1580,116,116
1581,103,32
71383,145,45
349,120,88
576,359,236
765,135,131
847,91,68
1712,322,62
1713,61,48
1714,97,68
1715,85,33
1716,214,238
1717,66,38
1718,144,74
1719,1053,46
143,1438,143
241,50,49
332,47,90
396,48,45
432,163,196
440,278,56
689,351,177
701,39,25
703,53,67
805,57,37
849,557,139
850,278,103
918,466,220
981,83,16
1011,88,54
1365,32,24
1561,187,43
1613,310,139
1738,163,88
1740,83,83
1741,64,26
1742,25,23
1743,1,4
1745,1,9
1746,3,6
1747,166,166
1748,159,168
1749,346,91
1750,67,32
1751,252,76
1752,65,59
1753,560,30
1754,238,132
1755,193,185
1756,473,6
446,225,104
556,265,153
696,163,186
1286,7,23
1772,15,20
1773,17,11
1774,18,16
1775,37,38
1776,231,35
1777,30,10
1778,163,103
1779,58,104
1780,43,22
1782,10,0
1783,113,3
1786,37,37
1787,3,1
1788,35,5
1789,33,29
1790,1,9
420,148,42
1438,244,136
1453,37,144
1890,59,72
1891,35,28
1892,240,55
1893,73,38
1894,370,94
1895,234,61
1896,105,191
1897,72,13
1898,118,111
1899,119,33
1900,56,30
1901,54,40
1902,108,37
1903,336,115
1904,90,26
1905,182,89
1906,160,17
1907,55,90
1908,211,65
1909,463,66
1910,199,89
1911,143,9
1912,192,103
1913,5,5
1914,94,24
1915,51,12
187,336,34
191,104,64
234,40,118
286,80,72
340,155,149
353,69,78
370,124,174
381,293,176
431,275,144
452,261,140
453,188,70
575,66,66
745,128,55
769,81,23
844,206,152
845,87,76
863,184,100
873,96,69
975,208,170
983,100,92
1001,26,25
1016,153,262
1031,93,61
1069,84,63
1238,88,82
1476,221,320
1554,72,77
1572,174,249
1642,221,95
1763,127,130
1935,276,114
1975,232,160
2023,43,33
2024,53,40
2025,169,52
2026,35,32
2027,125,21
2028,205,75
2029,75,54
2030,151,83
2031,86,84
2032,156,91
2033,134,152
2034,143,137
2035,146,83
2036,100,51
2037,163,157
2038,24,40
2039,37,14
2040,150,120
2041,54,34
2042,122,88
2043,137,126
2044,6,6
2045,114,87
2046,150,99
2047,147,154
2048,37,37
2049,153,85
2050,63,25
2051,96,67
2052,212,111
2053,61,34
2054,88,46
2055,57,107
2056,76,109
2057,95,90
2058,11,10
2059,241,58
2060,106,140
2061,111,98
2062,218,99
2063,226,226
2064,105,74
2065,188,77
2066,397,397
2067,118,101
2068,35,17
364,43,38
429,281,101
552,141,112
1620,421,124
1622,101,78
2114,7,13
2115,293,60
2116,77,64
2117,8,8
2118,333,333
2119,43,55
2120,467,74
2121,27,56
320,175,194
534,133,162
883,328,261
980,73,69
1440,575,180
1446,105,51
1504,38,100
1529,52,143
2110,117,68
2215,192,83
2216,25,28
2217,100,77
2218,195,97
2219,46,48
2220,63,31
2221,47,57
2222,96,29
2223,35,35
2224,70,12
2225,34,25
2226,159,56
2227,365,162
2228,332,37
2229,119,34
2230,158,55
2231,76,82
2232,134,135
2233,30,38
2234,172,45
2235,30,16
2236,301,301
2237,56,40
2238,17,10
2239,540,48
2240,18,23
2241,92,92
2242,25,35
2243,41,41
2244,221,84
2245,74,56
2246,45,107
2247,22,32
2248,149,149
2249,100,96
2250,33,36
2251,71,53
2252,45,39
2253,31,24
2254,74,86
2255,107,107
145,71,614
148,6,15
149,9,20
154,125,205
161,14,59
167,94,146
172,174,68
175,28,68
185,69,75
194,9,41
203,53,178
232,23,56
270,44,39
283,71,50
291,65,247
314,54,30
315,127,66
316,32,25
317,17,28
326,126,63
372,67,45
400,134,130
442,127,112
444,60,37
447,288,259
451,152,110
454,66,29
455,32,153
456,58,42
457,6,11
471,3,13
568,5,25
579,75,131
581,63,57
594,24,72
615,30,69
685,135,126
767,9,15
858,21,40
862,80,68
867,9,26
896,49,32
910,24,24
942,108,241
977,4,11
978,12,45
986,41,8
990,36,24
1009,90,80
1032,90,79
1037,119,66
1044,28,67
1045,7,9
1046,7,19
1049,16,35
1057,13,46
1058,6,21
1066,7,18
1073,18,19
1085,27,31
1094,11,16
1098,12,28
1099,6,6
1102,51,99
1114,26,23
1130,6,18
1132,5,23
1133,25,32
1153,18,21
1157,64,50
1196,23,41
1204,74,53
1280,35,50
1333,3,3
1546,104,64
1587,29,43
1589,69,123
1615,104,74
1668,12,23
1815,256,123
1933,120,89
1934,49,57
2069,48,85
2074,16,40
2075,80,142
2265,71,149
2301,24,11
2302,31,18
2303,149,140
2304,5,1
2305,23,17
2306,9,13
2307,30,29
2308,26,34
2309,10,10
2310,19,18
2311,22,34
2312,19,16
2313,8,6
2314,7,16
2315,4,5
2316,71,80
2317,21,22
2318,146,47
2319,19,17
2320,36,37
2321,5,12
2322,44,36
2323,12,12
2324,57,27
2325,16,26
2326,8,10
2327,33,98
2328,94,45
2329,10,16
2330,1,7
2331,10,14
2332,2,3
2333,11,7
2334,19,15
2335,40,22
2336,20,16
2337,44,32
2338,25,39
2339,64,32
2340,12,29
2341,31,25
2342,48,42
2344,60,89
2361,29,16
2362,65,80
2364,22,14
2365,17,25
2366,52,69
2367,49,89
2369,66,78
2437,19,18
2559,63,19
2608,23,31
2782,17,28
2804,44,40
2897,67,41
2908,36,41
3681,7,11
4880,34,50
10094,8,7
71385,12,31
371,30,15
403,122,88
544,56,47
872,20,62
976,165,75
988,47,54
1013,99,94
2258,11,13
2368,4,19
2370,13,18
2371,147,105
2372,16,46
2373,133,128
2374,6,8
2375,258,96
2376,37,26
2377,47,37
2378,6,8
2379,45,13
2380,29,32
2386,72,31
164,31,27
178,18,78
192,44,69
217,102,223
252,18,35
285,14,44
288,26,54
289,216,251
300,101,55
341,9,60
373,33,59
404,86,39
481,46,218
541,62,57
652,152,310
704,97,257
750,15,28
758,4,8
878,8,17
912,32,62
926,57,15
971,93,139
989,109,65
1020,232,72
1024,289,79
1145,35,52
1379,79,341
1387,7,13
2345,10,4
2349,31,18
2400,3,16
2408,90,249
2435,140,53
2436,8,14
2439,17,3
2440,75,40
2441,2,2
2442,4,10
2444,207,38
2445,24,22
2446,119,47
2448,48,44
2449,24,10
2450,16,16
2451,39,18
2452,1,4
2453,35,39
2454,9,11
2455,39,28
2456,2,2
2457,5,32
2458,22,21
2459,1,9
2460,12,13
2461,95,80
2462,7,1
2463,40,0
2464,281,52
2465,11,14
2467,8,13
2468,8,3
2469,25,8
2470,42,89
2483,8,14
2485,14,22
2487,98,109
2491,19,39
3162,36,20
7657,7,16
26288,2,2
71384,12,12
254,76,61
282,187,126
416,36,35
516,103,52
562,50,31
590,246,400
618,73,173
637,254,741
654,73,140
665,217,26
705,62,180
830,43,35
906,20,55
991,94,99
1202,6,13
1233,49,32
1652,47,20
1658,116,114
1762,64,41
1970,46,45
2430,52,17
2472,13,10
2492,29,25
2493,14,10
2494,3,3
2495,75,50
2496,54,30
2497,129,135
2498,182,24
2499,68,111
2500,46,28
2501,150,162
2502,37,40
2503,10,21
2504,60,66
2505,21,25
2506,10,22
2507,54,53
2508,61,66
2509,59,163
2510,21,29
2511,160,41
2512,611,83
2513,31,10
2514,78,63
2515,30,35
2516,55,60
208,35,36
296,121,111
325,48,25
334,52,48
342,101,175
356,43,107
360,158,79
405,125,127
419,81,84
450,119,3
557,193,54
592,52,102
674,18,36
680,127,79
702,106,60
870,6,15
874,82,47
888,196,48
927,96,56
985,54,64
992,31,34
997,192,136
1004,109,43
1012,44,28
1147,80,71
1437,182,56
1483,134,210
1552,64,98
2006,52,17
2171,32,38
2256,56,44
2287,59,142
2419,48,83
2424,131,85
2478,122,105
2528,229,91
2548,77,58
2550,2,11
2551,18,21
2552,9,18
2553,52,38
2554,71,57
2555,8,9
2556,51,47
2557,66,32
2558,146,63
2560,59,30
2561,143,148
2562,67,17
2563,114,161
2564,2,12
2565,107,107
2775,181,79
2800,99,40
2956,191,68
2961,77,43
3174,203,95
3231,26,69
3260,19,37
3264,200,44
3281,335,26
3463,61,62
3683,95,85
3841,106,36
3979,132,113
4342,147,36
4687,104,95
5829,152,28
6059,80,80
7437,46,0
7806,137,2
21718,3,5
649,150,155
913,165,184
925,98,83
1206,124,57
1224,196,101
1431,82,112
1432,429,60
1472,138,64
1507,97,89
1512,130,58
1520,158,128
1623,490,103
1629,178,112
1635,273,99
2101,46,66
2113,301,99
2144,327,181
2151,151,246
2198,89,98
2629,47,27
2630,135,64
2631,97,91
2632,52,34
2633,75,61
2634,102,77
2635,126,70
2636,240,52
2637,194,194
2638,150,23
2639,136,108
2640,152,152
2641,114,59
2642,44,41
2643,294,122
2644,148,60
2645,47,60
2646,70,226
2647,114,81
2648,72,83
2649,142,170
2650,225,94
2651,132,141
2652,226,69
2653,67,100
2654,134,137
2655,75,72
2656,319,91
3,39,40
198,183,91
299,283,87
640,167,127
1460,162,92
2195,108,57
2490,38,41
2710,139,109
2711,21,18
2712,112,64
2713,168,64
2714,178,31
339,43,72
377,82,85
523,26,98
748,73,118
911,36,60
934,21,41
1007,30,34
1019,40,42
1165,44,95
1218,49,39
1219,98,71
1283,261,197
1348,1,14
1374,7,9
2008,144,113
2084,108,75
2104,51,68
2139,38,87
2201,158,77
2276,66,72
2605,61,39
2678,129,78
2721,6,9
2753,2,3
2754,49,66
2755,12,18
2756,5,6
2757,117,65
2758,6,7
2759,27,19
3154,16,66
3181,98,55
3352,122,87
4036,23,34
4069,89,51
4783,23,52
5063,69,11
13415,4,8
25548,4,2
212,29,240
215,105,177
239,70,74
261,45,42
273,9,6
311,44,41
324,42,11
336,46,43
338,8,25
346,26,71
362,32,61
376,119,34
380,30,30
391,30,35
406,53,40
439,72,106
460,6,50
473,22,64
492,65,345
554,95,74
572,4,53
573,26,40
604,17,30
610,46,123
739,8,59
759,11,33
762,18,87
802,91,79
886,7,31
957,81,67
966,24,28
1006,47,53
1071,25,22
1086,9,8
1104,9,11
1149,11,22
1150,7,20
1210,17,15
1284,13,70
1285,33,77
1343,6,47
1349,14,34
1350,33,32
1370,70,54
1592,7,28
1611,13,50
1647,96,121
1761,75,51
1764,24,33
1766,54,69
1916,2,2
1945,7,15
1990,13,22
2083,51,46
2272,49,33
2401,35,64
2476,58,79
2479,129,90
2566,40,59
2576,28,28
2577,86,41
2615,14,32
2619,35,39
2778,3,12
2779,3,8
2781,17,22
2783,1,3
2784,3,4
2785,7,5
2786,60,147
2787,10,54
2788,32,62
2789,10,26
2790,4,5
2791,27,28
2792,62,43
2793,15,13
2794,18,29
2795,6,17
2796,48,43
2797,2,12
2798,35,31
2799,11,24
2801,1,5
2802,31,30
2803,33,54
2805,24,15
2811,26,16
2843,5,16
2857,25,30
2860,35,41
2863,76,50
2866,72,10
2868,25,25
2904,52,33
2905,40,50
2933,71,56
3009,6,17
3015,11,13
3044,89,29
3073,27,82
3160,32,39
3203,28,43
3333,21,28
3429,38,33
3473,59,26
3483,99,94
3544,42,27
3565,5,10
3625,3,9
3629,3,10
3652,33,61
3660,22,30
3723,81,52
3848,4,34
4436,14,33
4525,16,27
4794,19,17
5095,31,45
5462,33,37
5936,7,14
6383,48,59
7099,3,6
7350,2,6
7484,83,56
7993,14,17
8311,31,48
8643,3,4
8846,10,23
9401,7,10
10192,31,31
10198,17,13
15347,26,15
15967,2,2
18812,4,3
71387,27,73
2415,40,22
2694,213,140
2812,14,10
2813,35,12
2814,62,123
2815,14,21
2816,28,35
2817,39,38
2818,10,6
2819,18,4
2820,11,65
2821,114,64
2822,1,3
180,29,52
243,29,29
565,135,132
700,57,46
2862,19,25
2864,191,48
2865,110,82
2867,137,173
2869,54,54
2870,29,40
2871,89,35
2872,60,28
2873,83,50
153,14,16
213,18,38
216,50,100
221,9,11
229,18,25
322,9,5
417,123,71
422,83,74
435,25,24
448,51,43
485,28,83
487,9,64
529,40,75
582,53,76
599,54,60
617,67,147
636,44,113
676,55,74
742,7,24
825,29,67
851,115,77
887,21,65
901,7,24
1018,66,88
1025,101,59
1143,26,39
1152,110,102
1211,40,75
1329,4,9
1342,3,17
1346,119,184
1351,6,45
1369,7,9
1388,11,14
1448,62,166
1477,25,26
1514,116,83
1527,45,72
1532,134,229
1551,56,97
1568,21,39
1593,10,13
1602,16,22
1630,57,51
1673,47,32
2124,24,28
2142,26,63
2174,243,203
2290,126,42
2383,5,12
2412,32,50
2423,28,66
2696,199,35
2746,32,46
2896,128,64
2898,13,13
2899,93,38
2900,14,11
2901,12,14
2902,26,24
2903,5,7
2906,64,36
2907,4,2
2909,45,48
2995,231,86
3116,61,33
3120,113,123
3141,15,28
3273,82,45
3279,38,62
3339,5,10
3376,36,38
3414,14,14
3420,212,101
3440,64,31
3491,14,23
3505,274,157
3560,75,129
3580,81,73
3766,31,57
3830,112,169
3832,58,36
3835,76,104
3836,106,101
3864,114,86
3899,263,178
3901,124,89
3929,63,51
3932,189,121
3948,54,63
4067,89,54
4109,16,37
4163,92,40
4219,7,16
4313,144,184
4326,19,13
4333,63,118
4337,35,49
4339,81,81
4550,14,16
4556,14,25
4557,23,48
4561,109,38
4739,26,43
4766,23,35
4769,99,81
5617,37,86
5667,34,84
5761,38,29
5778,50,64
6173,50,65
6378,32,34
6431,109,53
6522,50,22
6761,21,28
7060,22,25
8513,12,14
8686,28,42
8740,82,82
9997,50,48
10762,8,28
12461,5,2
12755,22,34
19743,52,56
250,35,52
287,57,108
307,135,105
553,98,61
561,25,46
609,43,45
630,64,91
656,91,123
657,40,39
658,30,31
671,35,61
751,103,246
768,71,88
815,36,54
818,80,112
820,15,32
824,183,607
829,63,89
838,23,42
944,41,18
952,104,26
1112,68,65
1227,57,92
1228,35,93
1231,16,17
1232,38,33
1235,10,30
1237,25,45
1521,195,74
1676,37,58
2156,67,68
2425,57,25
2429,34,60
2433,45,90
2537,87,47
2544,31,56
2741,26,33
2927,13,15
2928,32,52
2929,14,32
2930,14,9
2931,25,25
2932,35,16
2934,1,3
2935,8,6
2936,17,28
2937,30,53
2938,54,80
2939,64,60
2940,2,3
2941,16,26
2942,16,10
2943,27,27
2944,25,51
2946,44,17
2947,10,28
2948,21,15
2949,50,52
2950,59,72
2951,9,15
2953,17,12
2954,12,14
2955,28,49
2957,24,54
2958,55,111
2960,74,120
2962,6,6
2963,51,0
2964,38,73
2965,44,34
2966,21,13
2967,5,8
2968,16,17
2969,373,373
2970,30,48
2971,7,6
2972,40,79
2973,7,12
2974,22,19
2975,34,29
2976,23,19
2977,56,1
2978,46,102
2979,38,41
2980,116,243
2981,32,54
2982,41,22
2983,18,22
2984,100,68
2985,83,94
2986,16,30
2987,11,7
2988,43,32
2989,3,2
2990,68,60
2991,171,39
2992,83,118
2993,5,19
2994,6,7
3040,36,31
3054,78,56
3086,13,13
3107,65,51
3112,78,29
3142,26,74
3464,45,57
3934,66,92
3983,29,45
4035,32,52
4049,91,58
4329,93,55
4341,126,40
4345,31,63
4560,48,51
4563,7,11
4705,44,43
4851,17,65
4929,35,300
4955,120,41
5257,28,36
5299,28,46
5532,6,10
5637,23,28
5894,13,12
5908,52,159
5911,25,33
5921,3,3
6055,40,107
6112,55,76
6160,22,59
6262,18,10
6290,22,24
6319,62,26
6325,3,7
6342,12,13
6377,15,16
6979,17,14
7130,16,16
7565,8,36
7687,135,128
7793,33,25
8245,16,7
9848,24,16
10349,26,45
10522,7,11
10912,34,21
11179,4,7
12942,13,13
15109,6,8
16347,3,5
29399,2,3
71381,17,66
71394,21,21
71395,4,7
71396,18,14
628,38,70
641,29,51
763,251,1053
953,46,34
1596,193,466
1707,24,122
1768,30,10
1852,34,111
1955,18,16
2426,16,17
3045,1,3
3047,10,9
3048,10,0
3049,33,10
3051,4,8
3052,8,21
3053,21,21
3055,24,2
3056,12,6
3057,17,14
3058,24,25
3059,40,7
3060,10,6
3061,18,21
3062,82,67
3063,15,0
3064,56,62
3065,206,275
3066,8,9
3067,7,10
3068,10,6
3069,116,12
3070,11,21
3071,93,32
3072,18,27
3074,12,11
3075,42,48
3076,65,70
3077,55,57
3079,7,7
3080,10,14
3082,39,77
3083,39,9
3084,16,19
3085,35,35
3087,25,39
3088,4,5
251,29,50
626,31,26
692,38,45
2206,44,89
2682,23,46
2718,4,16
3018,4,11
3100,10,8
3101,5,16
3102,16,16
3103,34,74
3104,95,95
3105,30,26
3106,66,52
3108,14,14
3109,20,115
3110,23,30
3111,24,27
3113,8,11
3114,93,26
3115,79,35
3117,56,145
3118,70,74
3119,46,26
247,4,15
885,4,3
909,137,224
2126,5,20
2180,77,72
3157,5,7
3158,4,7
3159,17,34
297,152,145
466,31,165
932,83,74
2381,99,53
2422,39,64
3172,79,16
3173,121,77
3175,20,9
3176,20,27
3177,49,25
3178,72,71
3179,10,4
3180,63,82
3182,82,21
3183,13,19
3184,54,57
3185,54,22
3186,59,76
3187,33,56
3188,3,4
3189,128,80
71398,91,83
675,28,34
1021,113,111
1142,31,25
1606,417,118
1765,30,45
2016,10,15
2097,39,71
2391,7,22
2411,12,76
3249,188,59
3250,29,29
3251,5,8
3252,12,12
3253,3,3
3254,35,17
3255,82,36
3256,53,45
3257,20,9
3258,12,19
3259,9,8
3261,48,54
3262,19,60
3263,22,44
3265,13,12
3266,52,22
3267,3,10
3268,37,43
3269,24,14
3270,9,15
3271,9,17
3272,80,29
3274,55,99
3275,74,59
3276,144,57
3277,134,99
3278,72,119
3280,121,63
3282,127,21
3283,8,17
3284,166,85
3285,88,33
3286,53,59
3692,52,46
4070,77,44
4115,111,63
4123,207,62
4357,115,116
4565,144,137
4568,18,17
4785,41,36
4896,7,19
5934,159,66
71400,87,50
228,12,90
355,16,44
488,8,54
502,3,13
1598,2,7
1690,63,186
1962,4,15
2675,36,33
2729,80,259
2925,1,7
3123,3,8
3321,112,162
3322,3,4
3323,5,4
3324,1,6
3325,2,6
3327,36,26
3328,4,18
3329,4,4
3331,2,5
3338,37,30
3340,13,6
3341,19,15
3343,3,6
3344,10,5
166,16,44
634,351,1350
803,3,25
907,22,55
1236,35,65
1353,32,107
2854,2,9
2895,16,59
3019,5,19
3346,63,102
3347,6,8
3348,4,6
3349,28,55
3350,40,42
3351,5,8
3353,8,10
3354,4,19
3357,2,3
277,68,81
305,7,11
328,5,21
337,5,11
514,29,135
535,4,15
811,2,8
956,39,76
960,10,63
964,13,53
1225,92,505
2140,21,74
2698,12,36
2810,72,33
2924,17,13
3092,58,198
3358,4,9
3359,14,14
3360,15,15
3361,14,18
3362,2,3
3363,6,9
3364,2,5
3365,18,67
3366,1,10
3367,13,9
3368,66,71
3369,19,59
3370,22,30
3371,9,21
3372,19,27
3373,7,4
3374,68,42
3375,2,21
3377,40,26
3694,16,22
3772,51,64
4314,32,37
8528,13,21
147,25,22
188,9,58
323,41,34
390,131,11
412,15,22
425,45,42
540,63,66
632,87,76
642,41,158
673,42,47
678,97,67
693,128,55
770,79,499
931,9,13
947,36,148
951,23,64
955,120,173
973,248,81
995,26,26
1002,84,63
1156,19,35
1158,40,30
1368,94,102
1428,122,193
1429,358,36
1430,84,69
1466,28,24
1479,75,110
1484,39,50
1489,37,198
1536,37,53
1558,147,32
1565,30,14
1582,44,43
1607,32,91
1619,720,123
1621,692,113
1645,16,52
1649,84,112
1650,35,52
1654,52,32
1657,27,51
1817,180,33
1818,57,106
1836,22,30
1883,63,86
1885,98,124
1918,314,161
1994,26,86
2070,64,203
2082,49,58
2088,77,100
2111,91,43
2146,110,79
2149,23,56
2160,126,67
2161,219,174
2172,2,4
2200,14,89
2284,89,73
2285,108,181
2288,109,40
2432,88,107
2536,35,22
2572,16,52
2574,40,77
2602,51,54
2685,207,55
2687,185,72
2690,103,70
2706,31,94
2728,57,79
2750,92,83
2833,6,12
2893,96,161
3039,34,95
3138,203,178
3167,65,83
3234,66,281
3391,59,38
3392,41,30
3393,36,20
3394,10,10
3395,21,24
3397,4,2
3398,138,35
3399,3,1
3400,4,0
3401,12,41
3403,83,31
3404,17,71
3405,42,13
3406,2,2
3407,8,8
3408,5,2
3409,2,2
3410,198,32
3411,8,12
3412,25,27
3413,5,7
3415,64,158
3416,4,2
3417,30,28
3418,21,44
3419,13,6
3421,17,3
3422,39,28
3423,12,21
3424,7,10
3425,10,25
3427,7,7
3428,157,29
3430,2,2
3431,98,69
3432,47,153
3433,46,16
3434,57,32
3435,12,0
3436,6,0
3437,15,15
3438,11,11
3439,38,38
3441,11,3
3442,10,5
3443,4,4
3444,4,0
3445,32,21
3446,1,3
3448,28,50
3450,4,3
3451,3,7
3452,6,1
3453,6,1
3454,91,140
3455,22,16
3457,114,27
3458,32,20
3459,85,40
3460,4,2
3461,21,53
3462,105,50
3485,46,63
3497,38,37
3498,36,36
3499,183,100
3500,87,64
3501,93,77
3502,202,119
3503,86,41
3509,52,49
3510,124,241
3511,33,42
3513,5,6
3517,13,29
3527,70,202
3533,106,118
3534,167,71
3555,47,92
3631,57,81
3718,101,10
3720,58,28
3783,89,56
3857,83,19
3887,82,70
3919,7,37
3922,79,58
3933,31,18
3951,88,192
3976,50,30
3984,188,61
3993,35,37
4000,33,24
4030,70,45
4045,294,97
4046,168,65
4047,150,60
4050,38,49
4053,96,109
4055,206,0
4064,62,6
4068,36,60
4072,20,18
4078,100,79
4092,20,261
4095,27,16
4098,105,61
4114,27,23
4118,128,41
4120,182,70
4121,44,26
4122,67,67
4161,292,120
4165,138,53
4167,82,55
4170,263,97
4187,131,93
4202,86,283
4203,12,39
4252,78,56
